Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
011110,CULTIVO DE CEREALES EXCEPTO LOS FORRAJEROS Y LOS DE SEMILLAS PARA LA SIEMBRA,011111,Cultivo de arroz
011110,CULTIVO DE CEREALES EXCEPTO LOS FORRAJEROS Y LOS DE SEMILLAS PARA LA SIEMBRA,011112,Cultivo de trigo
011110,CULTIVO DE CEREALES EXCEPTO LOS FORRAJEROS Y LOS DE SEMILLAS PARA LA SIEMBRA,011119,"Cultivo de cereales n.c.p., excepto los de uso forrajero"
011120,CULTIVO DE CEREALES FORRAJEROS,011121,Cultivo de maíz
011120,CULTIVO DE CEREALES FORRAJEROS,011129,Cultivo de cereales de uso forrajero n.c.p.
011130,CULTIVO DE OLEAGINOSAS EXCEPTO EL DE SEMILLAS PARA SIEMBRA,011211,Cultivo de soja
011130,CULTIVO DE OLEAGINOSAS EXCEPTO EL DE SEMILLAS PARA SIEMBRA,011291,Cultivo de girasol
011130,CULTIVO DE OLEAGINOSAS EXCEPTO EL DE SEMILLAS PARA SIEMBRA,011299,Cultivo de oleaginosas n.c.p. excepto soja y girasol
011130,CULTIVO DE OLEAGINOSAS EXCEPTO EL DE SEMILLAS PARA SIEMBRA,012608,Cultivo de frutos oleaginosos excepto para  procesamiento industrial
011140,CULTIVO DE  PASTOS FORRAJEROS,011130,Cultivo de pastos de uso forrajero
011211,CULTIVO DE PAPAS Y BATATAS,011310,"Cultivo de papa, batata y mandioca"
011212,CULTIVO DE MANDIOCA,011310,"Cultivo de papa, batata y mandioca"
011220,"CULTIVO DE BULBOS, BROTES, RAÍCES Y HORTALIZAS DE FRUTO",011321,Cultivo de tomate
011220,"CULTIVO DE BULBOS, BROTES, RAÍCES Y HORTALIZAS DE FRUTO",011329,"Cultivo de bulbos, brotes, raíces y hortalizas de fruto n.c.p."
011230,CULTIVO DE HORTALIZAS DE HOJA Y DE OTRAS HORTALIZAS FRESCAS,011331,Cultivo de hortalizas de hoja y de otras hortalizas frescas
011240,CULTIVO DE LEGUMBRES,011341,Cultivo de legumbres frescas
011240,CULTIVO DE LEGUMBRES,011342,Cultivo de legumbres secas
011250,CULTIVO DE FLORES Y PLANTAS ORNAMENTALES,011911,Cultivo de flores
011250,CULTIVO DE FLORES Y PLANTAS ORNAMENTALES,011912,Cultivo de plantas ornamentales
011310,CULTIVO DE FRUTAS DE PEPITA,012311,Cultivo de manzana y pera
011310,CULTIVO DE FRUTAS DE PEPITA,012319,Cultivo de frutas de pepita n.c.p.
011320,CULTIVO DE FRUTAS DE CAROZO,012320,Cultivo de frutas de carozo
011330,CULTIVO DE FRUTAS CÍTRICAS,012200,Cultivo de frutas cítricas
011340,CULTIVO DE NUECES Y FRUTAS SECAS,012420,Cultivo de frutas secas
011390,CULTIVO DE FRUTAS N.C.P.,012121,Cultivo de uva de mesa
011390,CULTIVO DE FRUTAS N.C.P.,012410,Cultivo de frutas tropicales y subtropicales
011390,CULTIVO DE FRUTAS N.C.P.,012490,Cultivo de frutas n.c.p.
011410,CULTIVO DE PLANTAS PARA LA OBTENCIÓN DE FIBRAS,011501,Cultivo de algodón
011410,CULTIVO DE PLANTAS PARA LA OBTENCIÓN DE FIBRAS,011509,Cultivo de plantas para la obtención de fibras n.c.p.
011420,CULTIVO DE PLANTAS SACARÍFERAS,012510,Cultivo de caña de azúcar
011420,CULTIVO DE PLANTAS SACARÍFERAS,012590,Cultivo de plantas sacaríferas n.c.p.
011430,CULTIVO DE VID PARA VINIFICAR,012110,Cultivo de vid para vinificar
011440,CULTIVO DE PLANTAS PARA PREPARAR BEBIDAS,012701,Cultivo de yerba mate
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
011440,CULTIVO DE PLANTAS PARA PREPARAR BEBIDAS,012709,Cultivo de té y otras plantas cuyas hojas se utilizan para preparar infusiones
011450,CULTIVO DE TABACO,011400,Cultivo de tabaco
011460,CULTIVO DE ESPECIAS Y DE PLANTAS AROMÁTICAS Y MEDICINALES,012800,Cultivo de especias y de plantas aromáticas y medicinales
011490,CULTIVOS INDUSTRIALES N.C.P.,011990,Cultivos temporales n.c.p.
011490,CULTIVOS INDUSTRIALES N.C.P.,012602,Cultivo de frutos oleaginosos para su procesamiento industrial
011490,CULTIVOS INDUSTRIALES N.C.P.,012900,Cultivos perennes n.c.p.
011510,PRODUCCIÓN DE SEMILLAS,013011,Producción de semillas híbridas de cereales y oleaginosas
011510,PRODUCCIÓN DE SEMILLAS,013012,"Producción de semillas varietales o autofecundadas de cereales, oleaginosas, y forrajeras"
011510,PRODUCCIÓN DE SEMILLAS,013013,"Producción de semillas de hortalizas y legumbres, flores y plantas ornamentales y árbolesfrutales"
011510,PRODUCCIÓN DE SEMILLAS,013019,Producción de semillas de cultivos agrícolas n.c.p.
011510,PRODUCCIÓN DE SEMILLAS,016150,Servicios de procesamiento de semillas para su siembra
011520,PRODUCCIÓN DE OTRAS FORMAS DE PROPAGACIÓN DE CULTIVOS AGRÍCOLAS,013020,Producción de otras formas de propagación de cultivos agrícolas
012110,CRÍA DE GANADO BOVINO -EXCEPTO EN CABAÑAS Y PARA LA PRODUCCIÓN DE LECHE-,014113,"Cría de ganado bovino, excepto la realizada en cabañas y para la producción de leche"
012110,CRÍA DE GANADO BOVINO -EXCEPTO EN CABAÑAS Y PARA LA PRODUCCIÓN DE LECHE-,014114,Invernada de ganado bovino excepto el engorde en corrales (Feed-Lot)
012110,CRÍA DE GANADO BOVINO -EXCEPTO EN CABAÑAS Y PARA LA PRODUCCIÓN DE LECHE-,014115,Engorde en corrales (Feed-Lot)
012120,CRÍA DE GANADO OVINO -EXCEPTO EN CABAÑAS Y PARA LA PRODUCCIÓN DE LANA-,014410,Cría de ganado ovino -excepto en cabañas y para la producción de lana y leche-
012130,CRÍA DE GANADO PORCINO -EXCEPTO EN CABAÑAS-,014510,"Cría de ganado porcino, excepto la realizada en cabañas"
012140,CRÍA DE GANADO EQUINO -EXCEPTO EN HARAS-,014211,"Cría de ganado equino, excepto la realizada en haras"
012150,CRÍA DE GANADO CAPRINO -EXCEPTO EN CABAÑAS Y PARA LA PRODUCCIÓN DE LECHE-,014430,Cría de ganado caprino -excepto la realizada en cabañas y para producción de pelos y de leche-
012160,CRÍA DE GANADO EN CABAÑAS Y HARAS,014121,Cría de ganado bovino realizada en cabañas
012160,CRÍA DE GANADO EN CABAÑAS Y HARAS,014221,Cría de ganado equino realizada en haras
012160,CRÍA DE GANADO EN CABAÑAS Y HARAS,014420,Cría de ganado ovino realizada en cabañas
012160,CRÍA DE GANADO EN CABAÑAS Y HARAS,014440,Cría de ganado caprino realizada en cabañas
012160,CRÍA DE GANADO EN CABAÑAS Y HARAS,014520,Cría de ganado porcino realizado en cabañas
012170,PRODUCCIÓN DE LECHE,014610,Producción de leche bovina
012170,PRODUCCIÓN DE LECHE,014620,Producción de leche de oveja y de cabra
012180,PRODUCCIÓN DE LANA Y PELOS DE GANADO,014710,Producción de lana y pelo de oveja y cabra (cruda)
012180,PRODUCCIÓN DE LANA Y PELOS DE GANADO,014720,Producción de pelos de ganado n.c.p.
012190,CRÍA DE GANADO N.C.P.,014300,Cría de camélidos
012210,CRÍA DE AVES  DE CORRAL,014810,"Cría de aves de corral, excepto para la producción de huevos"
012220,PRODUCCIÓN DE HUEVOS,014820,Producción de huevos
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
012230,APICULTURA,014910,Apicultura
012240,"CRÍA DE ANIMALES PELÍFEROS, PILIFEROS Y PLUMÍFEROS",014930,"Cría de animales pelíferos, pilíferos y plumíferos, excepto de las especies ganaderas"
