"CódigoClaNAE-97",Descripción de la actividad del ClaNAE-97,"CódigoCIIU-2","CódigoCIIU-3","CódigoCLACNE94"
A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",1 p,A,A
01,"AGRICULTURA, GANADERIA, CAZA Y SERVICIOS CONEXOS",,01,01
011,Cultivos agrícolas,,,
011.1,"Cultivo de cereales, oleaginosas y forrajeras",,,
011.11,Cultivo de cereales excepto los forrajeros y los de semillas para siembra,1110 p,0111 p,01100 p
"","(Incluye arroz con cáscara, cebada excepto la forrajera, trigo, etc.)",,0130 p,01300 p
011.12,Cultivo de cereales forrajeros,1110 p,0111 p,01100 p
"","(Incluye alpiste, avena, cebada forrajera, centeno, mijo, etc.)",,0130 p,01300 p
011.13,Cultivo de oleaginosas excepto el de semillas para siembra,1110 p,0111 p,01100 p
"","(Incluyeloscultivosdeoleaginosasparaaceitescomestiblesy/odeusoindustrial:cártamo,colza,jojoba, lino oleaginoso, maní, olivo para aceite, ricino, sésamo, tung, etc.)",,0130 p,01300 p
011.14,Cultivo de  pastos forrajeros,1110 p,0111 p,01100 p
"",(Incluye fardos y rollos ),,0130 p,01300 p
011.2,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",,,
011.21,"Cultivo de papa, batata y mandioca",1110 p,0111 p,01100 p
"",,,0130 p,01300 p
011.22,"Cultivo de bulbos, brotes, raíces y hortalizas de fruto",1110 p,0112 p,01100 p
"","(Incluye ajo,berenjena, cebolla,calabaza, espárrago,frutilla, melón,pepino, ají,pimiento, sandía,zanahoria, zapallo, zapallito, etc.)",,0130 p,01300 p
011.23,Cultivo de hortalizas de hoja y de otras hortalizas frescas,1110 p,0112 p,01100 p
"","(Incluyeacelga,apio,alcaparra,cebolladeverdeo,choclo,coles,espinaca,lechuga,perejil,radicheta, repollo, etc.)",,0130 p,01300 p
011.24,Cultivo de legumbres,1110 p,0112 p,01100 p
"","(Incluye el cultivo de legumbres frescas y secas: arveja, chaucha, haba, lupino, poroto, lenteja, etc.)",,0130 p,01300 p
011.25,Cultivo de flores y plantas ornamentales,1110 p,0112 p,01100 p
"",,,0130 p,01300 p
011.3,Cultivo de frutas  -excepto vid para vinificar- y nueces,,,
011.31,Cultivo de frutas de pepita,1110 p,0113 p,01100 p
"","(Incluye membrillo, níspero, etc.)",,0130 p,01300 p
011.32,Cultivo de frutas de carozo,1110 p,0113 p,01100 p
"","( Incluye cereza, ciruela, damasco, durazno, pelón, etc.)",,0130 p,01300 p
011.33,Cultivo de frutas cítricas,1110 p,0113 p,01100 p
"","( Incluye bergamota, lima, limón, mandarina, naranja, pomelo, kinoto, etc.)",,0130 p,01300 p
011.34,Cultivo de nueces y frutas secas,1110 p,0113 p,01100 p
