CLANAE10 ID,CLANAE10 label,CIIU4 ID
1302,Producción de otras formas de propagación de cultivos agrícolas,130
14,Cría de animales,
141,Cría de ganado bovino,
1411,"Cría de ganado bovino, excepto la realizada en cabañas y para la producción de leche",141
1412,Cría de ganado bovino realizada en cabañas,141
142,Cría de ganado equino,
1421,"Cría de ganado equino, excepto la realizada en haras",142
1422,Cría de ganado equino realizada en haras,142
143,Cría de camélidos,
1431,Cría de camélidos,143
144,Cría de ganado ovino y caprino,
1441,"Cría de ganado ovino, excepto la realizada en cabañas y para la producción de lana y de leche",144
1442,Cría de ganado ovino realizada en cabañas,144
1443,"Cría de ganado caprino, excepto la realizada en cabañas y para la producción de pelos y de leche",144
1444,Cría de ganado caprino realizada en cabañas,144
145,Cría de ganado porcino,
1451,"Cría de ganado porcino, excepto la realizada en cabañas",145
1452,Cría de ganado porcino realizada en cabañas,145
146,Producción de leche,
1461,Producción de leche bovina,141
1462,Producción de leche de oveja y de cabra,144
147,Producción de lana y pelos de ganado,
1471,Producción de lana y pelo de oveja y cabra (cruda),144
1472,Producción de pelos de ganado n.c.p.,143
148,Cría de aves de corral,
1481,"Cría de aves de corral, excepto para la producción de huevos",146
1482,Producción de huevos,146
149,Cría de otros animales,
1491,Apicultura,149
1492,Cunicultura,149
1493,"Cría de animales pelíferos, pilíferos y plumíferos, excepto de las especies ganaderas",149
1499,Cría de animales y obtención de otros productos de origen animal n.c.p.,149
16,Servicios de apoyo agrícolas y pecuarios,
161,Servicios de apoyo agrícolas,
1611,"Servicios de maquinaria agrícola, excepto los de cosecha mecánica",161
1612,Servicios de cosecha mecánica,161
1613,Servicios de contratistas de mano de obra agrícola ,161
1614,Servicios de poscosecha,163
1615,Servicios de procesamiento de semillas para siembra,164
1619,Servicios de apoyo agrícolas n.c.p.,161
162,"Servicios de apoyo pecuarios, excepto los veterinarios",
1621,Inseminación artificial y servicios para mejorar la reproducción de los animales y el rendimiento de sus productos ,162
1622,Servicios de contratistas de mano de obra pecuaria,162
1623,Servicios de esquila de animales,162
1629,Servicios de apoyo pecuarios n.c.p.,162
17,"Caza, repoblación de animales de caza y servicios de apoyo",
170,"Caza, repoblación de animales de caza y servicios de apoyo",
1701,Caza y repoblación de animales de caza ,170
1702,Servicios de apoyo para la caza,170
2,"SILVICULTURA, EXTRACCIÓN DE PRODUCTOS FORESTALES Y SERVICIOS DE APOYO",
21,Silvicultura,
210,Silvicultura,
2101,Plantación de bosques,210
2102,Repoblación y conservación de bosques nativos y zonas forestadas,210
2103,Explotación de viveros forestales ,210
22,Extracción de productos forestales,
220,Extracción de productos forestales,
2201,Extracción de productos forestales de bosques cultivados,220
2201,Extracción de productos forestales de bosques cultivados,230
2202,Extracción de productos forestales de bosques nativos,220
2202,Extracción de productos forestales de bosques nativos,230
24,Servicios de apoyo a la silvicultura,
240,Servicios de apoyo a la silvicultura,
2401,Servicios forestales para la extracción de madera,240
2402,"Servicios forestales, excepto los servicios para la extracción de madera",240
3,"PESCA, ACUICULTURA Y SERVICIOS DE APOYO",
31,Pesca y servicios de apoyo,
311,Pesca marítima y recolección de organismos marinos,
3111,Pesca de organismos marinos; excepto cuando es realizada en buques procesadores,311
3112,Pesca y elaboración de productos marinos realizada a bordo de buques procesadores,311
3113,"Recolección de organismos marinos excepto peces, crustáceos y moluscos",311
312,Pesca continental: fluvial y lacustre,
3120,Pesca continental: fluvial y lacustre,312
313,Servicios de apoyo para la pesca,
3130,Servicios de apoyo para la pesca,3
32,"Explotación de criaderos de peces, granjas piscícolas y otros frutos acuáticos (acuicultura)",
320,"Explotación de criaderos de peces, granjas piscícolas y otros frutos acuáticos (acuicultura)",
3200,"Explotación de criaderos de peces, granjas piscícolas y otros frutos acuáticos (acuicultura)",321
3200,"Explotación de criaderos de peces, granjas piscícolas y otros frutos acuáticos (acuicultura)",322
B,EXPLOTACIÓN DE MINAS Y CANTERAS,
5,EXTRACCIÓN DE CARBÓN Y LIGNITO,
51,Extracción y aglomeración de carbón ,
510,Extracción y aglomeración de carbón,
5100,Extracción y aglomeración de carbón,510
52,Extracción y aglomeración de lignito,
520,Extracción y aglomeración de lignito,
5200,Extracción y aglomeración de lignito,520
6,EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL,
61,Extracción de petróleo crudo,
610,Extracción de petróleo crudo,
6100,Extracción de petróleo crudo,610
62,Extracción de gas natural,
620,Extracción de gas natural,
6200,Extracción de gas natural,620
7,EXTRACCIÓN DE MINERALES METALÍFEROS,
71,Extracción de minerales de hierro,
710,Extracción de minerales de hierro,
7100,Extracción de minerales de hierro,710
72,Extracción de minerales metalíferos no ferrosos,
721,Extracción de minerales y concentrados de uranio y torio,
7210,Extracción de minerales y concentrados de uranio y torio,721
729,"Extracción de minerales metalíferos no ferrosos, excepto minerales de uranio y torio",
7291,Extracción de metales preciosos,729
7299,"Extracción de minerales metalíferos no ferrosos n.c.p., excepto minerales de uranio y torio",729
8,EXPLOTACIÓN DE  MINAS Y CANTERAS N.C.P.,
81,"Extracción de piedra, arena y arcillas",
811,Extracción de rocas ornamentales,
8110,Extracción de rocas ornamentales,810
812,Extracción de piedra caliza y yeso,
8120,Extracción de piedra caliza y yeso,810
813,"Extracción de arenas, canto rodado y triturados pétreos",
8130,"Extracción de arenas, canto rodado y triturados pétreos",810
814,Extracción de arcilla y caolín,
8140,Extracción de arcilla y caolín,810
89,Explotación de minas y canteras n.c.p.,
891,"Extracción de minerales para la fabricación de abonos y productos químicos, excepto turba",
8911,"Extracción de minerales para la fabricación de abonos, excepto turba",891
8912,Extracción de minerales para la fabricación de productos químicos,891
892,Extracción y aglomeración de turba,
8920,Extracción y aglomeración de turba,892
893,Extracción de sal,
8930,Extracción de sal,893
899,Explotación de minas y canteras n.c.p.,
8990,Explotación de minas y canteras n.c.p.,899
9,SERVICIOS DE APOYO PARA LA MINERÍA ,
91,Servicios de apoyo para la extracción de petróleo y gas natural,
910,Servicios de apoyo para la extracción de petróleo y gas natural,
9100,Servicios de apoyo para la extracción de petróleo y gas natural,910
99,Servicios de apoyo para la minería; excepto para la extracción de petróleo y gas natural,
990,Servicios de apoyo para la minería; excepto para la extracción de petróleo y gas natural,
9900,Servicios de apoyo para la minería; excepto para la extracción de petróleo y gas natural,990
C,INDUSTRIA MANUFACTURERA,
10,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
101,"Producción y procesamiento de carne y productos cárnicos, excepto pescado",
1010,Producción y procesamiento de carne y productos cárnicos,
10101,Matanza de ganado bovino y procesamiento de su carne,1010
10102,Producción y procesamiento de carne de aves ,1010
10103,Elaboración de fiambres y embutidos,1010
10104,Matanza  de ganado excepto el bovino y procesamiento de su carne,1010
10109,Matanza de animales n.c.p. y procesamiento de su carne; elaboración de subproductos cárnicos n.c.p.,1010
10109,Matanza de animales n.c.p. y procesamiento de su carne; elaboración de subproductos cárnicos n.c.p.,1040
102,Elaboración de pescado y productos de pescado,
1020,Elaboración de pescado y productos de pescado,
10200,Elaboración de pescado y productos de pescado,1020
103,"Preparación de frutas, hortalizas y legumbres",
1030,"Preparación de frutas, hortalizas y legumbres",
10301,"Preparación de conservas de frutas, hortalizas y legumbres",1030
10302,"Elaboración de jugos naturales y sus concentrados, de frutas, hortalizas y legumbres",1030
10303,"Elaboración de frutas, hortalizas y legumbres congeladas",1030
10309,"Elaboración de frutas, hortalizas y legumbres deshidratadas o desecadas; preparación n.c.p. de frutas, hortalizas y legumbres",1030
104,Elaboración de aceites y grasas de origen vegetal,
1040,Elaboración de aceites y grasas de origen vegetal,
10401,Elaboración de aceites y grasas de origen vegetal y sus subproductos; -excepto margarinas y similares-,1040
10402,Elaboración de margarinas y grasas vegetales comestibles similares,1040
105,Elaboración de productos lácteos,
1050,Elaboración de productos lácteos,
10501,Elaboración de leches y productos lácteos deshidratados,1050
10502,Elaboración de quesos,1050
10503,Elaboración industrial de helados,1050
10509,Elaboración de productos lácteos n.c.p.,1050
106,"Elaboración de productos de molinería, almidones y productos derivados del almidón ",
1061,Elaboración de productos de molinería,
10611,Molienda de trigo,1061
10612,Preparación de arroz,1061
10613,"Preparación y molienda de legumbres y cereales, excepto trigo y arroz y molienda húmeda de maíz",1061
1062,Elaboración de almidones y productos derivados del almidón; molienda húmeda de maíz,
10620,Elaboración de almidones y productos derivados del almidón; molienda húmeda de maíz,1062
107,Elaboración de productos alimenticios n.c.p.,
1071,Elaboración de productos de panadería,
10711,Elaboración de galletitas y bizcochos,1071
10712,"Elaboración de productos de panadería, excepto galletitas y bizcochos",1071
1072,Elaboración de azúcar,
10720,Elaboración de azúcar,1072
1073,"Elaboración de cacao, chocolate, productos de confitería y golosinas",
10730,"Elaboración de cacao, chocolate, productos de confitería y golosinas",1073
1074,Elaboración de pastas alimenticias,
10741,Elaboración de pastas alimenticias frescas,1074
10742,Elaboración de pastas alimenticias secas,1074
1075,Elaboración de comidas preparadas para reventa,
10750,Elaboración de comidas preparadas para reventa,1075
1079,Elaboración de productos alimenticios n.c.p.,
10791,"Tostado, torrado y molienda de café; elaboración y molienda de hierbas aromáticas y especias",1079
10792,Preparación de hojas de té,1079
10793,Elaboración de yerba mate,1079
10799,Elaboración de productos alimenticios n.c.p.,1071
10799,Elaboración de productos alimenticios n.c.p.,1079
108,Elaboración de alimentos preparados para animales,
1080,Elaboración de alimentos preparados para animales,
10800,Elaboración de alimentos preparados para animales,1080
109,Servicios industriales para la elaboración de alimentos y bebidas,
1090,Servicios industriales para la elaboración de alimentos y bebidas,
10900,Servicios industriales para la elaboración de alimentos y bebidas,10
11,ELABORACIÓN DE BEBIDAS,
110,Elaboración de bebidas,
1101,"Destilación, rectificación y mezcla de bebidas espiritosas",
11010,"Destilación, rectificación y mezcla de bebidas espiritosas",1101
1102,Elaboración de vino y otras bebidas fermentadas,
11021,Elaboración de vino,1102
11029,Elaboración de sidra y otras bebidas alcohólicas fermentadas,1102
1103,"Elaboración de cerveza, bebidas malteadas y malta",
11030,"Elaboración de cerveza, bebidas malteadas y malta",1103
1104,Elaboración de bebidas no alcohólicas,
11041,Elaboración de soda y aguas,1104
11042,"Elaboración de bebidas gaseosas, excepto soda y aguas",1104
11049,Elaboración de hielo y bebidas no alcohólicas n.c.p.,3530
11049,Elaboración de hielo y bebidas no alcohólicas n.c.p.,1104
12,ELABORACIÓN DE PRODUCTOS DE TABACO,
120,Elaboración de productos de tabaco,
1200,Elaboración de productos de tabaco,
12001,Preparación de hojas de tabaco,1200
12009,Elaboración de cigarrillos y productos de tabaco n.c.p.,1200
13,FABRICACIÓN DE PRODUCTOS TEXTILES,
131,Fabricación de hilados y tejidos; acabado de productos textiles,
1311,Preparación e hilandería de fibras textiles,
13111,Preparación de fibras textiles vegetales; desmotado de algodón ,1311
13112,Preparación de fibras animales de uso textil,1311
13113,Fabricación de hilados de fibras textiles,1311
1312,Tejeduría de productos textiles,
13120,"Fabricación de tejidos textiles, incluso en hilanderías y tejedurías integradas ",1312
1313,Acabado de productos textiles,
13130,Acabado de productos textiles,1313
139,Fabricación de productos textiles n.c.p.,
1391,Fabricación de tejidos de punto,
13910,Fabricación de tejidos de punto,1391
1392,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir",
13920,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir",1392
1393,Fabricación de tapices y alfombras,
13930,Fabricación de tapices y alfombras,1393
1394,"Fabricación de cuerdas, cordeles, bramantes y redes",
13940,"Fabricación de cuerdas, cordeles, bramantes y redes",1394
1399,Fabricación de productos textiles n.c.p.,
13990,Fabricación de productos textiles n.c.p.,1399
14,CONFECCIÓN DE PRENDAS DE VESTIR; TERMINACIÓN Y TEÑIDO DE PIELES,
141,"Confección de prendas de vestir, excepto prendas de piel",
1411,"Confección de prendas de vestir, excepto prendas de piel y cuero",
14111,"Confección de ropa interior, prendas para dormir y para la playa",1410
14112,"Confección de ropa de trabajo, uniformes y guardapolvos",1410
14113,Confección de prendas de vestir para bebés y niños,1410
14114,Confección de prendas deportivas,1410
14119,"Confección de prendas de vestir n.c.p., excepto prendas de piel, cuero y de punto",1410
1412,Confección de prendas y accesorios de vestir de cuero,
14120,Confección de prendas y accesorios de vestir de cuero,1410
142,Terminación y teñido de pieles; fabricación de artículos de piel,
1420,Terminación y teñido de pieles; fabricación de artículos de piel,
14200,Terminación y teñido de pieles; fabricación de artículos de piel,1420
14200,Terminación y teñido de pieles; fabricación de artículos de piel,1511
143,Fabricación de prendas de vestir de punto ,
1430,Fabricación de prendas de vestir de punto ,
14301,Fabricación de medias,1430
14302,Fabricación de prendas de vestir y artículos similares de punto,1430
149,Servicios industriales para la industria confeccionista,
1490,Servicios industriales para la industria confeccionista,
14900,Servicios industriales para la industria confeccionista,1313
15,"CURTIDO Y TERMINACIÓN DE CUEROS; FABRICACIÓN DE ARTÍCULOS DE MARROQUINERÍA, TALABARTERÍA Y CALZADO Y DE SUS PARTES",
151,Curtido y terminación de cueros; fabricación de artículos de marroquinería y talabartería ,
1511,Curtido y terminación de cueros,
15110,Curtido y terminación de cueros,1511
1512,"Fabricación de maletas, bolsos de mano, artículos de talabartería y artículos de cuero n.c.p.",
15120,"Fabricación de maletas, bolsos de mano, artículos de talabartería y artículos de cuero n.c.p.",1512
152,Fabricación de calzado y de sus partes,
1520,Fabricación de calzado y de sus partes,
15201,"Fabricación de calzado de cuero, excepto calzado deportivo y ortopédico",1520
15202,"Fabricación de calzado de materiales n.c.p., excepto calzado deportivo y ortopédico",1520
15203,Fabricación de calzado deportivo de cualquier material,1520
15204,Fabricación de partes de calzado ,1399
15204,Fabricación de partes de calzado ,1629
15204,Fabricación de partes de calzado ,2219
15204,Fabricación de partes de calzado ,2220
16,"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES",
161,Aserrado y cepillado de madera,
1610,Aserrado y cepillado de madera,
16100,Aserrado y cepillado de madera,1610
162,"Fabricación de productos de madera, corcho, paja y materiales trenzables",
1621,"Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas, y tableros y paneles n.c.p.",
16210,Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados; tableros laminados; tableros de partículas y tableros y paneles n.c.p.,1621
1622,Fabricación de partes y piezas de carpintería para edificios y construcciones,
16220,Fabricación de partes y piezas de carpintería para edificios y construcciones,1622
1623,Fabricación de recipientes de madera,
16230,Fabricación de recipientes de madera,1623
1629,"Fabricación de productos de madera n.c.p.; fabricación de artículos de corcho, paja y materiales trenzables",
16290,"Fabricación de productos de madera n.c.p.; fabricación de artículos de corcho, paja y materiales trenzables",1629
16290,"Fabricación de productos de madera n.c.p.; fabricación de artículos de corcho, paja y materiales trenzables",3290
17,FABRICACIÓN DE PAPEL Y DE  PRODUCTOS DE PAPEL,
170,Fabricación de papel y de productos de papel,
1701,"Fabricación de pasta de madera, papel y cartón",
17010,"Fabricación de pasta de madera, papel y cartón",1701
1702,Fabricación de papel y cartón ondulado y envases de papel y cartón,
17020,Fabricación de papel y cartón ondulado y envases de papel y cartón,1702
1709,Fabricación de artículos de papel y cartón,
17091,Fabricación de artículos de papel y cartón de uso doméstico e higiénico sanitario,1709
17099,Fabricación de artículos de papel y cartón n.c.p.,1709
18,IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES,
181,Impresión y servicios relacionados con la impresión,
1811,Impresión,
18110,Impresión,1811
1812,Servicios relacionados con la impresión,
18120,Servicios relacionados con la impresión,1812
182,Reproducción de grabaciones,
1820,Reproducción de grabaciones,
18200,Reproducción de grabaciones,1820
19,FABRICACIÓN DE COQUE Y PRODUCTOS DE LA REFINACIÓN DEL PETRÓLEO,
191,Fabricación de productos de hornos de coque,
1910,Fabricación de productos de hornos de coque,
19100,Fabricación de productos de hornos de coque,1910
192,Fabricación de productos de la refinación del petróleo,
1920,Fabricación de productos de la refinación del petróleo,
19200,Fabricación de productos de la refinación del petróleo,1920
20,FABRICACIÓN DE SUSTANCIAS Y PRODUCTOS QUÍMICOS,
201,Fabricación de sustancias químicas básicas,
2011,"Fabricación de sustancias químicas básicas, excepto abonos y compuestos de nitrógeno",
20111,Fabricación de gases industriales y medicinales comprimidos o licuados,2011
20112,Fabricación de curtientes naturales y sintéticos,2011
20113,"Fabricación de materias colorantes básicas, excepto pigmentos preparados",2011
20114,"Fabricación de combustible nuclear, sustancias y materiales radiactivos",2011
20118,"Fabricación de sustancias químicas inorgánicas básicas, n.c.p.",2011
20119,"Fabricación de sustancias químicas orgánicas básicas, n.c.p.",2011
2012,Fabricación de biocombustibles,
20121,Fabricación de alcohol,2011
20122,"Fabricación de biocombustibles, excepto alcohol",2011
2013,Fabricación de abonos y compuestos de nitrógeno,
20130,Fabricación de abonos y compuestos de nitrógeno,2012
2014,Fabricación de plásticos en formas primarias y de caucho sintético,
20140,Fabricación de plásticos en formas primarias y de caucho sintético,2013
202,Fabricación de productos químicos n.c.p.,
2021,"Fabricación de insecticidas, plaguicidas y  productos químicos de uso agropecuario ",
20210,"Fabricación de insecticidas, plaguicidas y  productos químicos de uso agropecuario ",2021
2022,Fabricación de pinturas; barnices y productos de revestimiento similares; tintas de imprenta y masillas,
20220,Fabricación de pinturas; barnices y productos de revestimiento similares; tintas de imprenta y masillas,2022
2023,"Fabricación de jabones y detergentes, preparados de limpieza, perfumes y preparados de tocador",
20231,Fabricación de jabones y preparados de limpieza,2023
20232,"Fabricación de cosméticos, perfumes y productos de higiene y tocador",2023
2029,Fabricación de productos químicos n.c.p.,
20290,Fabricación de productos químicos n.c.p.,2029
203,Fabricación de fibras manufacturadas,
2030,Fabricación de fibras manufacturadas,
20300,Fabricación de fibras manufacturadas,2030
204,Servicios industriales para la fabricación de sustancias y productos químicos,
2040,Servicios industriales para la fabricación de sustancias y productos químicos,
20400,Servicios industriales para la fabricación de sustancias y productos químicos,19
20400,Servicios industriales para la fabricación de sustancias y productos químicos,20
20400,Servicios industriales para la fabricación de sustancias y productos químicos,21
21,"FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS DE USO FARMACÉUTICO",
210,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",
2100,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",
21001,Fabricación de medicamentos de uso humano y productos farmacéuticos,2100
21002,Fabricación de medicamentos de uso veterinario,2100
21003,Fabricación de sustancias químicas para la elaboración de medicamentos,2100
21009,Fabricación de productos de laboratorio y productos botánicos de uso farmacéutico n.c.p. ,2100
21009,Fabricación de productos de laboratorio y productos botánicos de uso farmacéutico n.c.p. ,3250
22,FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICO,
221,Fabricación de productos de caucho,
2211,Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho,
22111,Fabricación de cubiertas y cámaras,2211
22112,Recauchutado y renovación de cubiertas,2211
2219,Fabricación de productos de caucho n.c.p.,
22190,Fabricación de productos de caucho n.c.p.,2219
222,Fabricación de productos de plástico,
2220,Fabricación de productos de plástico,
22201,Fabricación de envases plásticos,2220
22209,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",2220
23,FABRICACIÓN DE PRODUCTOS MINERALES NO METÁLICOS,
231,Fabricación de vidrio y productos de vidrio,
2310,Fabricación de vidrio y productos de vidrio,
23101,Fabricación de envases de vidrio,2310
23102,Fabricación y elaboración de vidrio plano,2310
23109,Fabricación de productos de vidrio n.c.p.,2310
239,Fabricación de productos minerales no metálicos n.c.p.,
2391,Fabricación de productos de cerámica refractaria,
23910,Fabricación de productos de cerámica refractaria,2391
2392,"Fabricación de productos de arcilla y cerámica no refractaria, para uso estructural",
23920,"Fabricación de productos de arcilla y cerámica no refractaria, para uso estructural",2392
2393,"Fabricación de productos de cerámica no refractaria, para uso no estructural",
23931,Fabricación de artículos sanitarios de cerámica,2392
23939,"Fabricación de artículos de cerámica no refractaria, para uso no estructural n.c.p.",2393
2394,"Elaboración de cemento, cal y yeso",
23941,Elaboración de cemento,2394
23942,Elaboración de cal y yeso,2394
2395,"Fabricación de artículos de hormigón, cemento y yeso",
23951,Fabricación de mosaicos,2395
23959,"Fabricación de artículos de cemento, fibrocemento y yeso, excepto mosaicos",2395
2396,"Corte, tallado y acabado de la piedra",
23960,"Corte, tallado y acabado de la piedra",2396
2399,Fabricación de productos minerales no metálicos n.c.p.,
23990,Fabricación de productos minerales no metálicos n.c.p.    ,2399
24,FABRICACIÓN DE METALES COMUNES,
241,Industrias básicas de hierro y acero,
2410,Industrias básicas de hierro y acero,
24100,Industrias básicas de hierro y acero,2410
242,Fabricación de productos primarios de metales preciosos y metales no ferrosos,
2420,Fabricación de productos primarios de metales preciosos y metales no ferrosos,
24201,Elaboración de aluminio primario y semielaborados de aluminio,2420
24209,Fabricación de productos primarios de metales preciosos y metales no ferrosos n.c.p. y sus semielaborados,2420
243,Fundición de metales,
2431,Fundición de hierro y acero,
24310,Fundición de hierro y acero,2431
2432,Fundición de metales no ferrosos,
24320,Fundición de metales no ferrosos,2432
25,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
251,"Fabricación de productos metálicos para uso estructural, tanques, depósitos y generadores de vapor",
2511,Fabricación de productos metálicos para uso estructural,
25110,Fabricación de productos metálicos para uso estructural,2511
2512,"Fabricación de tanques, depósitos y recipientes de metal",
25120,"Fabricación de tanques, depósitos y recipientes de metal",2512
2513,Fabricación de generadores de vapor,
25130,Fabricación de generadores de vapor,2513
252,Fabricación de armas y municiones,
2520,Fabricación de armas y municiones,
25200,Fabricación de armas y municiones,2520
259,Fabricación de productos elaborados de metal n.c.p.; servicios de trabajo de metales,
2591,"Forjado, prensado, estampado y laminado de metales; pulvimetalurgia",
25910,"Forjado, prensado, estampado y laminado de metales; pulvimetalurgia",2591
2592,Tratamiento y revestimiento de metales y trabajos de metales en general,
25920,Tratamiento y revestimiento de metales y trabajos de metales en general,2592
2593,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",
25930,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",2593
2599,Fabricación de productos elaborados de metal n.c.p.,
25991,Fabricación de envases metálicos,2599
25999,Fabricación de productos elaborados de metal n.c.p.,2599
26,"FABRICACIÓN DE PRODUCTOS INFORMÁTICOS, ELECTRÓNICOS Y ÓPTICOS",
261,Fabricación componentes electrónicos,
2610,Fabricación componentes electrónicos ,
26100,Fabricación componentes electrónicos ,2610
262,Fabricación de equipos y productos informáticos,
2620,Fabricación de equipos y productos informáticos,
26200,Fabricación de equipos y productos informáticos,2620
263,Fabricación de equipos de comunicaciones y transmisores de radio y televisión,
2630,Fabricación de equipos de comunicaciones y transmisores de radio y televisión,
26300,Fabricación de equipos de comunicaciones y transmisores de radio y televisión,2630
264,"Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonido y video, y productos conexos",
2640,"Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonido y video, y productos conexos",
26400,"Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonido y video, y productos conexos",2640
265,"Fabricación de aparatos e instrumentos para medir, verificar, ensayar, navegar y otros fines, excepto instrumentos de óptica",
2651,"Fabricación de instrumentos y aparatos para medir, verificar, ensayar, navegar, control de procesos industriales y otros fines",
26510,"Fabricación de instrumentos y aparatos para medir, verificar, ensayar, navegar, control  de procesos industriales y otros fines",2651
2652,Fabricación de relojes,
26520,Fabricación de relojes,2652
266,Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos,
2660,Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos,
26601,Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos principalmente electrónicos y/o eléctricos,2660
26609,Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos n.c.p.,3250
267,Fabricación de instrumentos de óptica y equipo fotográfico,
2670,Fabricación de instrumentos de óptica y equipo fotográfico,
26700,Fabricación de instrumentos de óptica y equipo fotográfico,2670
26700,Fabricación de instrumentos de óptica y equipo fotográfico,3250
268,Fabricación de soportes ópticos y magnéticos ,
2680,Fabricación de soportes ópticos y magnéticos ,
26800,Fabricación de soportes ópticos y magnéticos ,2680
27,FABRICACIÓN DE MAQUINARIA Y EQUIPOS ELÉCTRICOS N.C.P.,
271,"Fabricación de motores, generadores y transformadores eléctricos y aparatos de distribución y control de la energía eléctrica",
2710,"Fabricación de motores, generadores y transformadores eléctricos y aparatos de distribución y control de la energía eléctrica",
27101,"Fabricación de motores, generadores y transformadores eléctricos",2710
27102,Fabricación de aparatos de distribución y control de la energía eléctrica,2710
27102,Fabricación de aparatos de distribución y control de la energía eléctrica,2733
272,"Fabricación de acumuladores, pilas y baterías primarias",
2720,"Fabricación de acumuladores, pilas y baterías primarias",
27200,"Fabricación de acumuladores, pilas y baterías primarias",2720
273,Fabricación de hilos y cables aislados,
2731,Fabricación de hilos y cables aislados,
27311,Fabricación de cables de fibra óptica,2731
27319,Fabricación de hilos y cables aislados n.c.p.,2732
274,Fabricación de lámparas eléctricas y equipo de iluminación,
2740,Fabricación de lámparas eléctricas y equipo de iluminación,
27400,Fabricación de lámparas eléctricas y equipo de iluminación,2740
